"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",p10,0,1.9
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",p15,0,2
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",p20,0,2
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",p5,0,1.45
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",p50,0,4.5
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",p7,0,1.63
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",totalQuantity,0,13
"perception contract",contract,"[{""key"":""ilvl"",""value"":80}]",totalValidListings,0,10
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",p10,0,1
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",p15,0,1
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",p20,0,1.4
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",p5,0,1
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",p50,0,3
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",p7,0,1
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",totalQuantity,0,13
"counter-thaumaturgy contract",contract,"[{""key"":""ilvl"",""value"":78}]",totalValidListings,0,13
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",p10,0,0.7
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",p15,0,0.8
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",p20,0,0.9
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",p5,0,0.6
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",p50,0,2
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",p7,0,0.64
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",totalQuantity,0,15
"brute force contract",contract,"[{""key"":""ilvl"",""value"":67}]",totalValidListings,0,5
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",p10,0,2.4
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",p15,0,2.6
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",p20,0,2.8
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",p5,0,2.2
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",p50,0,4
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",p7,0,2.28
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",totalQuantity,0,5
"deception contract",contract,"[{""key"":""ilvl"",""value"":78}]",totalValidListings,0,5
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",p10,0,2.4
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",p15,0,2.6
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",p20,0,2.8
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",p5,0,2.2
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",p50,0,3
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",p7,0,2.28
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",totalQuantity,0,6
"perception contract",contract,"[{""key"":""ilvl"",""value"":75}]",totalValidListings,0,5
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",p10,0,0.7
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",p15,0,0.8
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",p20,0,0.9
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",p5,0,0.6
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",p50,0,1
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",p7,0,0.64
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",totalQuantity,0,28
"demolition contract",contract,"[{""key"":""ilvl"",""value"":67}]",totalValidListings,0,5
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",p10,0,1
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",p15,0,1
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",p20,0,1
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",p5,0,1
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",p50,0,2
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",p7,0,1
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",totalQuantity,0,18
"brute force contract",contract,"[{""key"":""ilvl"",""value"":75}]",totalValidListings,0,9
"lockpicking contract",contract,"[{""key"":""ilvl"",""value"":63}]",p10,0,1
"lockpicking contract",contract,"[{""key"":""ilvl"",""value"":63}]",p15,0,1
"lockpicking contract",contract,"[{""key"":""ilvl"",""value"":63}]",p20,0,1
"lockpicking contract",contract,"[{""key"":""ilvl"",""value"":63}]",p5,0,1
