"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p10,0,6
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p15,0,6.5
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p20,0,7
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p5,0,5.5
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p50,0,35
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p7,0,5.7
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",totalQuantity,0,12
"geomancer's incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",totalValidListings,0,6
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",p10,0,2
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",p15,0,2
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",p20,0,2
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",p5,0,1.5
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",p50,0,60
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",p7,0,1.7
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",totalQuantity,0,25
"maddening incubator",incubator,"[{""key"":""ilvl"",""value"":83}]",totalValidListings,0,11
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p10,0,1.6
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p15,0,1.9
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p20,0,2.4
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p5,0,1.3
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p50,0,60
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",p7,0,1.42
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",totalQuantity,0,44
"kalguuran incubator",incubator,"[{""key"":""ilvl"",""value"":85}]",totalValidListings,0,7
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p10,0,12
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p10,9,16.5
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p15,0,13.5
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p15,9,17.25
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p20,0,15
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p20,9,18
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p5,0,10.5
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p5,9,15.75
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p50,0,25
"diviner's incubator",incubator,"[{""key"":""ilvl"",""value"":86}]",p50,9,198.2666666666666
