"shackles of the wretched",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"immortal resolve",card,"[]",totalValidListings,0,5
"shadows and dust",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":true},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"divine beauty",card,"[]",totalValidListings,0,6
"explorer's scouting report",scouting report,"[]",totalValidListings,50,6
"singular scouting report",scouting report,"[]",totalValidListings,0,5
"maelström of chaos",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"screaming essence of fear",essence,"[]",totalValidListings,30,4
"lesser eldritch ichor",currency,"[]",totalValidListings,18,4
"march of the legion",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":true},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,6
"imbued catalyst",currency,"[]",totalValidListings,18,5
"self-flagellation",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":true},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,7
"gang's momentum",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,6
"wraithlord",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"essence of hysteria",essence,"[]",totalValidListings,0,9
"dusktoe",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,6
"shrieking essence of contempt",essence,"[]",totalValidListings,9,7
"perquil's toe",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,6
"orb of transmutation",currency,"[]",totalValidListings,30,6
"rigwald's curse",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":true},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,6
"azure oil",oil,"[]",totalValidListings,30,6
"chromatic orb",currency,"[]",totalValidListings,50,3
"nuro's harp",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"jeweller's orb",currency,"[]",totalValidListings,0,6
"rusted legion scarab",scarab,"[]",totalValidListings,0,10
"vaal scouting report",scouting report,"[]",totalValidListings,9,7
"vaal scouting report",scouting report,"[]",totalValidListings,18,5
"pyre",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,7
"unstable catalyst",currency,"[]",totalValidListings,0,7
"abrasive catalyst",currency,"[]",totalValidListings,0,9
"bound fossil",fossil,"[]",totalValidListings,0,5
"mark of the red covenant",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"oro's sacrifice",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
