"circle of regret",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalQuantity,9,496
"flame surge",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""corrupted""},{""key"":""quality"",""value"":""20""}]",totalQuantity,0,6
"smite",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""typeLine"",""value"":""smite""},{""key"":""corrupted"",""value"":true},{""key"":""quality"",""value"":""20""}]",totalQuantity,0,7
"smite",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""corrupted""},{""key"":""quality"",""value"":""20""}]",totalQuantity,0,7
"the opulent",card,"[]",totalQuantity,0,2005
"flameblast",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""corrupted"",""value"":true},{""key"":""quality"",""value"":""23""}]",totalQuantity,0,6
"agnerod east",unique,"[{""key"":""sixLink"",""value"":true},{""key"":""corrupted"",""value"":false},{""key"":""foilVariation"",""value"":0}]",totalQuantity,0,5
"barrage support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""barrage support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""20""}]",totalQuantity,0,5
"ancestral call support",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""corrupted"",""value"":true},{""key"":""quality"",""value"":""23""}]",totalQuantity,0,5
"flame dash",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""typeLine"",""value"":""anomalous flame dash""},{""key"":""corrupted""},{""key"":""quality"",""value"":""20""}]",totalQuantity,0,6
"urgent orders support",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalQuantity,0,5
"vampiric link",gem,"[{""key"":""lvl"",""value"":""20""},{""key"":""corrupted"",""value"":true},{""key"":""quality"",""value"":""23""}]",totalQuantity,0,5
"12% increased totem damage medium cluster jewel",cluster,"[{""key"":""ilvl"",""value"":77},{""key"":""passives"",""value"":4}]",totalQuantity,0,5
"whirling blades",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""anomalous whirling blades""},{""key"":""corrupted""},{""key"":""quality"",""value"":""1-18""}]",totalQuantity,0,6
"1% chance to block spell damage small cluster jewel",cluster,"[{""key"":""ilvl"",""value"":72},{""key"":""passives"",""value"":2}]",totalQuantity,0,7
